date,open,high,low,close
1325372400,4.6666,4.75,4.66502,4.72202
1325376000,4.70785,4.74789,4.6863,4.68907
1325379600,4.692,4.7,4.6158,4.64437
1325383200,4.64437,4.72,4.61601,4.63202
1325386800,4.6332,4.71,4.615,4.65771
1325390400,4.65771,4.72,4.648,4.66966
1325394000,4.66926,4.70443,4.65898,4.6997
1325397600,4.6997,4.73,4.68,4.73
1325401200,4.73,4.74999,4.68236,4.71663
1325404800,4.7,4.95,4.67882,4.75169
1325408400,4.7524,4.9,4.75169,4.80684
1325412000,4.849,4.87,4.82,4.83052
1325415600,4.85927,4.9,4.821,4.856
1325419200,4.86139,4.88,4.831,4.869
1325422800,4.8685,4.949,4.85048,4.9009
1325426400,4.9009,5,4.90001,4.97708
1325430000,4.99988,5.15563,4.9599,5.12
1325433600,5.09092,5.189,5.0902,5.15
1325437200,5.17801,5.19,5.15,5.1804
1325440800,5.1804,5.2,5.16,5.19
1325444400,5.185,5.25,5.1502,5.24988
1325448000,5.2399,5.382,5.21,5.29911
1325451600,5.35499,5.45,5.298,5.43722
1325455200,5.41081,5.4999,5.15021,5.389
1325458800,5.389,5.389,5.2055,5.26766
1325462400,5.26346,5.3,5.23331,5.25177
1325466000,5.25123,5.29896,5.25012,5.27
1325469600,5.27695,5.40268,5.2516,5.3982
1325473200,5.3981,5.40272,5.36,5.3999
1325476800,5.36467,5.39797,5.2622,5.3888
1325480400,5.3682,5.38798,5.26224,5.30463
1325484000,5.30465,5.387,5.2622,5.368
1325487600,5.36637,5.36698,5.3049,5.3547
1325491200,5.31206,5.35649,5.28462,5.28555
1325494800,5.311,5.37067,5.28712,5.35
1325498400,5.33,5.3978,5.3299,5.38
1325502000,5.38,5.46,5.38,5.46
1325505600,5.46,5.47,5.38,5.40446
1325509200,5.42865,5.42865,4.8,5.1
1325512800,5.14107,5.26,4.85,5.2282
1325516400,5.22549,5.26956,5.18559,5.25844
1325520000,5.25844,5.28,5.2337,5.2337
1325523600,5.22999,5.235,5.15,5.23
1325527200,5.195,5.2389,5.195,5.237
1325530800,5.23999,5.24,5.185,5.1925
1325534400,5.1925,5.26406,5.185,5.21
1325538000,5.22288,5.24,5.14,5.18624
1325541600,5.19126,5.19147,5.14373,5.18689
1325545200,5.18689,5.2409,5.1768,5.21678
1325548800,5.21588,5.21588,5.13,5.16599
1325552400,5.16599,5.1685,5.05,5.05
1325556000,5.06002,5.2,5.0307,5.07879
1325559600,5.07565,5.07565,4.975,5.05
1325563200,5.05,5.15185,5.03125,5.146
1325566800,5.137,5.23,5.135,5.16
1325570400,5.19263,5.25,5.15,5.25
1325574000,5.25,5.29,5.21075,5.271
1325577600,5.271,5.271,5.21055,5.2106
1325581200,5.2106,5.2106,5.15025,5.15069
1325584800,5.18859,5.19013,5.14999,5.151
1325588400,5.151,5.204,5.12,5.2
1325592000,5.2,5.2427,5,5.04999
1325595600,5.04999,5.04999,4.65,4.83
1325599200,4.83,4.83847,4.7,4.73
1325602800,4.7399,4.8489,4.723,4.79362
1325606400,4.79,4.91,4.789,4.904
1325610000,4.905,4.92,4.82069,4.92
1325613600,4.91726,4.959,4.88579,4.953
1325617200,4.953,4.95879,4.80001,4.81002
1325620800,4.81002,4.90062,4.7241,4.88999
1325624400,4.88999,4.94997,4.82,4.82
1325628000,4.84084,4.93,4.7241,4.89759
1325631600,4.84886,4.8999,4.84108,4.8808
1325635200,4.8808,4.9188,4.7801,4.87
1325638800,4.82459,4.92,4.82459,4.91654
1325642400,4.90891,4.9899,4.90246,4.92
1325646000,4.9223,4.93,4.8,4.80129
1325649600,4.80129,4.88998,4.751,4.8694
1325653200,4.8591,4.9196,4.8,4.90281
1325656800,4.8705,4.89,4.7807,4.85
1325660400,4.85,4.91,4.8,4.87
1325664000,4.87,5,4.82981,4.97889
1325667600,4.93726,5.109,4.85,5.03
1325671200,5.03,5.06497,4.94,5.00002
1325674800,5.00002,5.07,4.94,5.03034
1325678400,5.011,5.06,5.011,5.025
1325682000,5.025,5.115,5.02001,5.03501
1325685600,5.04258,5.19,5.037,5.1304
1325689200,5.16998,5.3,5.16899,5.2302
1325692800,5.23011,5.3,5.23011,5.2672
1325696400,5.2672,5.7,5.1,5.45
1325700000,5.42928,5.68445,5.381,5.50898
1325703600,5.51,5.57973,5.35,5.4
1325707200,5.40001,5.43249,5.311,5.4
1325710800,5.4128,5.6002,5.4128,5.6
1325714400,5.5531,5.62,5.441,5.51
1325718000,5.51,5.65,5.51,5.57383
1325721600,5.57402,6.01,5.57401,5.87
1325725200,5.88862,6.01,5.75,5.8297
1325728800,5.82447,5.999,5.805,5.90152
