date,open,high,low,close
1365458400,187.9,190.95,185.6,186
1365462000,185.60001,187.5,184.582,187.5
1365465600,186.5,190.49999,186.5,189
1365469200,188.60001,190.88,188.50001,190.50001
1365472800,190.50001,192.9,190,191.00999
1365476400,191.00999,192.905,191,191.90001
1365480000,192.85,193,187,192.6
1365483600,192.6,194,190.2,191.55001
1365487200,191.55,192.41935,190.5,191.64718
1365490800,191.64718,194,189.60123,190
1365494400,190,194.2,189.60123,194.1998
1365498000,194.1998,194.5,193.00001,194.4
1365501600,194.39999,202.48,193.84,202.00001
1365505200,202.00002,207,199.7,204.13
1365508800,204.5,210,202.29343,209.75
1365512400,209,211,205,211
1365516000,209.7,219.98,209.7,219.12
1365519600,218.38505,224.67,213,221.01
1365523200,222,227.86018,221.03,224.99
1365526800,224.99,239.111,220,236.8
1365530400,235.871,240.111,230,230
1365534000,232,237.98,230,233
1365537600,232.32323,236.6,232,235.11007
1365541200,235.11007,238,234.11,235.4157
1365544800,235.4157,237.49,232,232.001
1365548400,232.001,234.89,228,230
1365552000,230.04359,235,227.0123,234.3
1365555600,235,235.49,231,233.59179
1365559200,233.59179,235.89,231.777,235
1365562800,235.878,235.878,231.6,234.89
1365566400,234.89,234.89,230,231.5001
1365570000,231.50001,234.9,231.5,232
1365573600,234.00011,234.887,230.5,234.24999
1365577200,234.00001,239,233.00001,235.00001
1365580800,235.00001,238.678,232,235.99999
1365584400,235.99999,249.87999,235.99999,249.8799
1365588000,249.8799,250,244.4,249.99
1365591600,249.9,255.5334,244,255.01
1365595200,255.01,266,255,263.47999
1365598800,262.3,263.798,244,246
1365602400,245.50001,258.5,241,252.1
1365606000,252.1,255,236,236
1365609600,236,239.985,217.111,221
1365613200,220,221,184.46829,184.46829
1365616800,184.46829,200,126,126
1365620400,150,185,105,139.45
1365624000,135,189.89,120,184.94
1365627600,189.89,203,150,150
1365631200,151,178.75,125,150
1365634800,150,174,142.11111,165
1365638400,166.48159,188.7,163,179.73621
1365642000,178.9,180,165.00001,168
1365645600,169.06364,170,149,165.625
1365649200,159.96652,172.1,156.7,168
1365652800,167.70001,178.98765,167.70001,169.5
1365656400,169.5,179.7,166.79001,174
1365660000,173.20001,188.7,173,181
1365663600,178.99999,183.7,172.3,177.9
1365667200,177.9,181.22,163.4,163.4
1365670800,164.2,164.6,143,146.765
1365674400,145,156,140.43513,152.99847
1365678000,149.9,168,140.43513,163
1365681600,163.009,163.8,144.2,146
1365685200,146.25,146.5,110.20003,110.20003
1365688800,111,123.40098,110.20003,120
1365692400,NaN,-Infinity,Infinity,NaN
1365696000,123.40098,123.40098,123.40098,123.40098
1365699600,123.40098,123.40098,123.40098,123.40098
1365703200,NaN,-Infinity,Infinity,NaN
1365706800,123.40098,124.9,123.40098,124.9
1365710400,NaN,-Infinity,Infinity,NaN
1365714000,NaN,-Infinity,Infinity,NaN
1365717600,NaN,-Infinity,Infinity,NaN
1365721200,NaN,-Infinity,Infinity,NaN
1365724800,NaN,-Infinity,Infinity,NaN
1365728400,124.9,130.01,118.8,130.01
1365732000,118.8,140,65,124.92784
1365735600,124,131,92.1,110.99999
1365739200,110.99999,110.99999,110.99998,110.99999
1365742800,110.99999,111,86,93.4
1365746400,93.4,109.999,91,97.69
1365750000,97.15,99.99,82,93.03691
1365753600,93.0369,95.01,87.12951,89.93999
1365757200,89.95,92.7841,86.0123,86.5
1365760800,86.5,90.11,76.11,77
1365764400,76.99,86.13,67.60048,67.60048
1365768000,67.60048,79.9999,54.25,77
1365771600,76,78,66,77
1365775200,77,83.4,71,73.21042
1365778800,73.48099,75.9,68.33,70.28
