date,open,high,low,close
1375308000,107.70002,107.99999,105.53,105.89149
1375311600,105.89148,107.23053,105.53301,106.21188
1375315200,106.22691,106.94,105.78548,106.00501
1375318800,106.1,107.75,105.53,106.375
1375322400,106.41629,107.68,106,106.00002
1375326000,106.0001,106.50005,105.35643,105.361
1375329600,105.361,106.34494,105.1,105.50001
1375333200,105.50002,106.23,104.51,105.72995
1375336800,105.15388,107,105.142,106
1375340400,106,106.71533,105.22001,106
1375344000,105.99999,106.01008,105.23,105.31
1375347600,105.61038,107.50112,105.3,106.21127
1375351200,106.21128,107.35,106.21,106.44019
1375354800,107.26362,108,106.54531,106.54532
1375358400,106.5453,107.98999,105.4,105.653
1375362000,105.653,106.99999,105.4,106
1375365600,105.51001,106.62066,105,105
1375369200,104.97144,106.28048,104.6,106.16
1375372800,106.16,106.36479,104.7,104.7
1375376400,104.70005,105.50005,104.4,105
1375380000,104.8,105,104.035,104.035
1375383600,104.03501,104.18,103,103.012
1375387200,103.012,103.54997,103,103.19101
1375390800,103.19101,104.52014,103.05,104.46946
1375394400,104.4573,104.52014,103.61,104.52014
1375398000,104.52014,104.99,103.85042,104
1375401600,104.62049,104.85567,103.69,104.57999
1375405200,104.81491,104.98,102.5,103
1375408800,102.99001,103.4,101.21111,101.5511
1375412400,101.55112,102.92253,101.55,102
1375416000,102,102.3,101.61,101.61
1375419600,101.97995,106,101.62,103.45501
1375423200,103.45501,106.5,102.60486,103.523
1375426800,103.67003,106.65,103.67,105
1375430400,105,106.2,104.23,105.01447
1375434000,105.01448,107.33908,105,105.829
1375437600,105.835,108,105.835,106.35
1375441200,106.86,107.49974,106.1,106.1
1375444800,106.10001,106.9,105.3055,105.83367
1375448400,106.29996,107.95,105.73201,105.734
1375452000,105.74,106.2,105.615,105.82053
1375455600,105.92798,106.2,105.4,106.13773
1375459200,106.1377,106.2,105,105.13021
1375462800,105.79999,105.79999,104,104.1
1375466400,104.1,105.5189,104.05,105.49998
1375470000,104.70008,105.5189,103.87111,103.88
1375473600,103.87114,105.39,103.751,104.09522
1375477200,105.33492,105.33492,104,104.05555
1375480800,104.05555,105.35,103.99,103.99
1375484400,103.99,105.23943,103.81111,104.50102
1375488000,104.6,104.77,103.81111,104.77
1375491600,104.77,104.86969,103.81111,104
1375495200,104.09899,104.86,103.75,103.81
1375498800,103.80001,104.95424,103.6812,103.99998
1375502400,103.99997,104.00502,103.66434,103.99
1375506000,104.00497,105,103.301,104.09998
1375509600,104.09997,104.315,103.41099,104.10998
1375513200,104.10997,104.12,103.51,103.57168
1375516800,103.57168,104.32,103.53,104.32
1375520400,104.32,104.32,103.53101,103.75
1375524000,103.55002,104.86088,103.55,104.2
1375527600,104.2,104.2,103.15001,103.405
1375531200,103.40501,104.19986,102.2,103.03994
1375534800,102.46521,103.63,102,103.63
1375538400,103.63496,103.84459,102.5032,103.629
1375542000,103.629,103.98999,102.8289,103.75998
1375545600,103.40001,104.06999,103.182,104
1375549200,104,104,103,103.99999
1375552800,103.99999,103.99999,103.13768,103.21752
1375556400,103.22068,104.3999,103.21001,104.38218
1375560000,104.3999,105.8852,103.89081,104.5
1375563600,104.5,104.71983,103.72267,104.22999
1375567200,104.22998,105.3,103.58051,104.87977
1375570800,104.87476,105.09899,103.865,104.95
1375574400,104.9,105.1,103.53,104.5
1375578000,104.49999,105.1,103.99096,105.09
1375581600,105.098,105.098,103.89,104.77952
